datetime,open,high,low,close,volume,return
20250411,186.1,199.54,186.06,198.15,537743,0.040594475370234306
20250414,211.43,212.94,201.16,202.52,664029,0.022053999495331933
20250415,201.76,203.51,199.8,202.14,292378,-0.001876357890578828
20250416,198.36,200.7,192.37,194.27,359220,-0.03893341248639548
20250417,197.02,198.84,194.42,196.98,298515,0.013949657692901463
20250421,193.31,193.8,189.81,193.16,233720,-0.019392831759569518
20250422,196.0,201.59,195.97,199.74,294536,0.03406502381445442
20250423,205.99,208.0,202.79,204.6,304801,0.024331631120456443
20250424,204.94,208.83,202.94,208.37,218957,0.01842619745845564
20250425,206.35,209.75,206.2,209.28,198496,0.004367231367279345
20250428,210.06,211.5,207.46,210.14,190370,0.004109327217125314
20250429,208.8,212.24,208.37,211.21,166450,0.005091843532882834
20250430,209.26,213.58,206.67,212.5,208637,0.006107665356754
20250501,209.08,214.56,208.9,213.32,267942,0.0038588235294116924
20250502,206.09,206.99,202.16,205.35,589863,-0.03736171010688172
20250505,203.1,204.1,198.21,198.89,380804,-0.0314584855125396
20250506,198.17,200.65,197.02,198.51,267664,-0.0019106038513750923
20250507,199.17,199.44,193.25,196.25,358062,-0.011384816885799176
20250508,197.73,200.05,194.67,197.49,285986,0.006318471337579679
20250509,199.0,200.54,197.53,198.53,216493,0.005266089422249154
20250512,211.04,211.26,206.75,210.79,373137,0.06175389109958185
20250513,210.37,213.4,209.0,212.93,279999,0.010152284263959421
20250514,212.43,213.94,210.58,212.33,266616,-0.002817827455032118
20250515,210.95,212.96,209.54,211.45,256847,-0.004144492064239724
20250516,212.36,212.57,209.77,211.26,235240,-0.000898557578623782
20250519,207.78,209.48,204.26,208.78,267569,-0.011739089273880454
20250520,207.67,208.47,205.03,206.86,236053,-0.009196283168885877
20250521,205.17,207.04,200.71,202.09,374019,-0.0230590737696994
20250522,200.71,202.75,199.78,201.36,292116,-0.003612251966945368
20250523,193.67,197.7,193.46,195.27,487862,-0.030244338498212175
20250527,198.29,200.74,197.43,200.21,335127,0.025298304911148595
20250528,200.53,202.73,199.9,200.42,239313,0.0010488986564105574
20250529,203.49,203.81,198.51,199.95,304171,-0.002345075341782299
20250530,199.39,201.96,196.78,200.85,285691,0.004501125281320295
20250602,200.28,202.13,200.12,201.7,197442,0.004232013940751678
20250603,201.35,203.77,200.95,203.27,238873,0.007783837382250969
20250604,202.97,206.24,202.1,202.82,263069,-0.002213804299699973
20250605,203.56,204.75,200.15,200.63,285924,-0.010797751701015712
20250606,203.0,205.7,202.05,203.92,273995,0.016398345212580434
20250609,204.47,206.0,200.02,201.45,486426,-0.012112593173793651
20250610,200.56,204.35,200.56,202.67,321902,0.006056093323405287
20250611,203.5,204.5,198.41,198.78,373888,-0.01919376326047262
20250612,199.08,199.68,197.36,199.2,257934,0.0021128886205854513
20250613,199.83,200.37,195.7,196.45,313984,-0.013805220883534086
20250616,197.28,198.69,196.56,198.42,246858,0.01002799694578771
20250617,197.2,198.39,195.21,195.64,216470,-0.014010684406813856
20250618,195.92,197.57,195.07,196.58,254439,0.004804743406256584
20250620,198.12,201.7,196.85,201.0,465510,0.02248448468816755
20250623,201.59,202.3,198.96,201.5,278314,0.0024875621890547706
20250624,202.59,203.44,200.2,200.3,335995,-0.005955334987593042
20250625,201.45,203.67,200.62,201.56,234833,0.006290564153769385
20250626,201.44,202.64,199.46,201.0,315042,-0.0027783290335383626
20250627,201.92,203.22,200.0,201.08,327057,0.0003980099502487455
20250630,202.06,207.39,199.26,205.17,540831,0.02034016311915643
20250701,206.72,210.19,206.14,207.82,516742,0.012916118340888127
20250702,208.99,213.34,208.14,212.44,477097,0.022230776633625382
20250703,212.07,214.65,211.81,213.55,219069,0.005225004707211545
20250707,212.72,216.23,208.8,209.95,305947,-0.016857878716928232
20250708,210.1,211.43,208.45,210.01,246164,0.0002857823291260164
20250709,209.53,211.33,207.22,211.14,306316,0.005380696157325726
20250710,210.44,213.48,210.03,212.41,283790,0.006014966373022679
20250711,210.43,212.13,209.86,211.16,215582,-0.005884845346264322
20250714,209.93,210.91,207.54,208.62,239365,-0.012028793332070409
20250715,209.22,211.89,208.92,209.11,238392,0.0023487680951010947
20250716,210.3,212.4,208.64,210.16,260592,0.005021280665678196
20250717,210.72,211.8,209.59,210.02,288290,-0.0006661591168632963
20250718,210.66,211.79,209.7,211.18,267089,0.00552328349680975
20250721,212.14,215.78,211.63,212.48,318755,0.006155885974050479
20250722,213.29,214.95,212.23,214.4,284347,0.009036144578313365
20250723,215.09,215.15,212.41,214.15,280319,-0.0011660447761193682
20250724,213.9,215.69,213.53,213.76,276905,-0.0018211533971516092
20250725,214.64,215.24,213.4,213.88,224367,0.0005613772455090871
20250728,214.0,214.85,213.06,214.05,209812,0.000794838227043293
20250729,214.16,214.81,210.89,211.27,282118,-0.012987619715019827
20250730,211.9,212.39,207.72,209.05,217965,-0.010507880910682998
